π1,π2,π3,f
2401798.2742244890,5.1312087709,0.7523787909,0.5722691187
96070.7931860418,5.1312089088,0.7523787909,0.1144531475
24017.3426687586,5.1312090760,0.7523787909,0.0572261510
2668.4355642826,5.1312097373,0.7523787909,0.0190748200
960.5798989736,5.1312103946,0.7523787909,0.0114445537
490.0627523006,5.1312110484,0.7523787909,0.0081744396
240.1094092918,5.1312120225,0.7523787909,0.0057218540
26.6630159214,5.1312183188,0.7523787909,0.0019067207
4816883.0606368650,4.8056211046,0.7523787909,0.7842960338
192673.0402224256,4.8056212492,0.7523787909,0.1568582801
48167.5469682806,4.8056214331,0.7523787909,0.0784285610
5351.6326778187,4.8056221498,0.7523787909,0.0261420814
1926.4736480828,4.8056228626,0.7523787909,0.0156847855
982.8364958119,4.8056235724,0.7523787909,0.0112030872
481.5470888872,4.8056246305,0.7523787909,0.0078418135
53.4735318997,4.8056314977,0.7523787909,0.0026131652
8321992.5134909600,4.5219761873,0.7523787909,1.0000000000
332875.7577471992,4.5219763369,0.7523787909,0.1999988189
83217.7075786248,4.5219765284,0.7523787909,0.0999986714
9245.8643508353,4.5219772752,0.7523787909,0.0333319062
3328.3140275465,4.5219780185,0.7523787909,0.0199985531
1698.0188203993,4.5219787588,0.7523787909,0.0142842589
831.9552937481,4.5219798628,0.7523787909,0.0099985382
92.3847138594,4.5219870474,0.7523787909,0.0033318613
747008.5484175688,3.4765571011,0.8235179979,0.2626997584
29879.9872192096,3.4765571897,0.8235179979,0.0525396405
7469.8859417589,3.4765572982,0.8235179979,0.0262696257
829.9380529672,3.4765577292,0.8235179979,0.0087562825
298.7599603579,3.4765581576,0.8235179979,0.0052536139
152.4195008105,3.4765585838,0.8235179979,0.0037524702
74.6789033279,3.4765592189,0.8235179979,0.0026266124
8.2927283797,3.4765633243,0.8235179979,0.0008752780
1532328.7001333013,3.2805359748,0.8235179979,0.3654858557
61292.4201622365,3.2805360660,0.8235179979,0.0730967381
15322.8775961911,3.2805361804,0.8235179979,0.0365480985
1702.4408604886,3.2805366315,0.8235179979,0.0121823386
612.8423154355,3.2805370801,0.8235179979,0.0073091866
312.6560821302,3.2805375266,0.8235179979,0.0052206929
153.1878322320,3.2805381923,0.8235179979,0.0036543226
17.0107603859,3.2805425057,0.8235179979,0.0012177465
2698046.8769523343,3.1064830997,0.8235179979,0.4719341961
107920.5933207554,3.1064831924,0.8235179979,0.0943862801
26979.7478170858,3.1064833095,0.8235179979,0.0471927907
2997.5717339820,3.1064837707,0.8235179979,0.0157304643
1079.0617353263,3.1064842296,0.8235179979,0.0094379990
550.5090031447,3.1064846866,0.8235179979,0.0067412281
269.7253779198,3.1064853678,0.8235179979,0.0047186500
29.9516833302,3.1064897914,0.8235179979,0.0015724172
240535.9256956919,2.3828726207,0.9033139290,0.1234134784
9621.3225327046,2.3828726755,0.9033139290,0.0246825491
2405.2948504521,2.3828727429,0.9033139290,0.0123411829
267.2390797469,2.3828730112,0.9033139290,0.0041136055
96.2003433868,2.3828732780,0.9033139290,0.0024680900
49.0788867656,2.3828735433,0.9033139290,0.0017628691
24.0465075157,2.3828739386,0.9033139290,0.0012339534
2.6702437933,2.3828764924,0.9033139290,0.0004111956
502251.1787924325,2.2618709093,0.9033139290,0.1737467117
20089.8080730004,2.2618709684,0.9033139290,0.0347491360
5022.3773046083,2.2618710420,0.9033139290,0.0173744391
558.0087156211,2.2618713340,0.9033139290,0.0057913077
200.8711830140,2.2618716245,0.9033139290,0.0034746815
102.4791981532,2.2618719136,0.9033139290,0.0024818416
50.2103240922,2.2618723446,0.9033139290,0.0017372118
5.5756041144,2.2618751361,0.9033139290,0.0005788986
897948.2598262182,2.1527962919,0.9033139290,0.2266466629
35917.5029398021,2.1527963532,0.9033139290,0.0453290635
8979.2421573525,2.1527964300,0.9033139290,0.0226643636
997.6342027336,2.1527967344,0.9033139290,0.0075545636
359.1269395795,2.1527970373,0.9033139290,0.0045326036
183.2171255681,2.1527973389,0.9033139290,0.0032374779
89.7683764422,2.1527977886,0.9033139290,0.0022661336
9.9683268502,2.1528007075,0.9033139290,0.0007551535
60079.8037637772,1.5006647313,1.0000000000,0.0489472498
2403.1637171609,1.5006647576,1.0000000000,0.0097893921
600.7820426294,1.5006647893,1.0000000000,0.0048946599
66.7496106162,1.5006649154,1.0000000000,0.0016315051
24.0284379398,1.5006650407,1.0000000000,0.0009788741
12.2586816642,1.5006651652,1.0000000000,0.0006991752
6.0062208132,1.5006653505,1.0000000000,0.0004894009
0.6669629107,1.5006665409,1.0000000000,0.0001630854
127982.3150560989,1.4339834676,1.0000000000,0.0698343760
5119.2319828262,1.4339834936,1.0000000000,0.0139667926
1279.7890499514,1.4339835253,1.0000000000,0.0069833447
142.1903628243,1.4339836511,1.0000000000,0.0023277127
51.1854992275,1.4339837759,1.0000000000,0.0013965864
26.1135039984,1.4339838999,1.0000000000,0.0009975322
12.7944801871,1.4339840843,1.0000000000,0.0006982416
1.4207668550,1.4339852652,1.0000000000,0.0002326783
232832.6836623904,1.3727785272,1.0000000000,0.0921604135
9313.1970097794,1.3727785540,1.0000000000,0.0184319737
2328.2647689159,1.3727785868,1.0000000000,0.0092159187
258.6807590079,1.3727787168,1.0000000000,0.0030718820
93.1195557072,1.3727788459,1.0000000000,0.0018430747
47.5071623269,1.3727789742,1.0000000000,0.0013164430
23.2764404551,1.3727791650,1.0000000000,0.0009214692
2.5847384911,1.3727803885,1.0000000000,0.0003070655
