filename,tau,delta_p,dP_L,v,mu,rho,d,phi,f,Re_p,f_ergun,steps,converged,stalled,source
r5_phi0.50_seed0.npy,1.0,3e-05,1.57e-07,5.27e-07,0.166659193,0.999955157,10,0.501895622,5658690.956,3.16e-05,9312046.425,2000,True,False,lbm
r5_phi0.50_seed0.npy,1.0,5e-05,2.62e-07,8.78e-07,0.16665421,0.999925261,10,0.501895622,3395113.996,5.27e-05,5587064.337,2000,True,False,lbm
r5_phi0.50_seed0.npy,1.0,7e-05,3.66e-07,1.23e-06,0.166649228,0.999895366,10,0.501895622,2425009.581,7.38e-05,3990643.439,2000,True,False,lbm
r5_phi0.50_seed0.npy,1.0,0.0001,5.24e-07,1.76e-06,0.166641754,0.999850522,10,0.501895622,1697431.266,0.000105383,2793327.762,2000,True,False,lbm
r5_phi0.50_seed0.npy,1.0,0.0003,1.57e-06,5.27e-06,0.166591928,0.999551567,10,0.501895622,565642.7321,0.000316243,930836.6733,2000,True,False,lbm
r5_phi0.50_seed0.npy,1.1,1e-06,5.24e-09,1.55e-08,0.199999701,0.999998504,10,0.501895622,219213227.5,7.73e-07,380953085.4,2000,True,False,lbm
r5_phi0.50_seed0.npy,1.1,5e-06,2.62e-08,7.73e-08,0.199998504,0.999992521,10,0.501895622,43842385.8,3.86e-06,76190169.01,2000,True,False,lbm
r5_phi0.50_seed0.npy,1.1,1e-05,5.24e-08,1.55e-07,0.199997008,0.999985042,10,0.501895622,21921030.6,7.73e-06,38094804.48,2000,True,False,lbm
r5_phi0.50_seed0.npy,1.1,3e-05,1.57e-07,4.64e-07,0.199991025,0.999955127,10,0.501895622,7306793.774,2.32e-05,12697894.76,2000,True,False,lbm
r5_phi0.50_seed0.npy,1.1,5e-05,2.62e-07,7.73e-07,0.199985042,0.999925211,10,0.501895622,4383946.402,3.86e-05,7618512.81,2000,True,False,lbm
r5_phi0.50_seed0.npy,1.1,7e-05,3.66e-07,1.08e-06,0.199979059,0.999895296,10,0.501895622,3131297.524,5.41e-05,5441634.829,2000,True,False,lbm
r5_phi0.50_seed0.npy,1.1,0.0001,5.24e-07,1.55e-06,0.199970084,0.999850422,10,0.501895622,2191810.86,7.73e-05,3808976.337,2000,True,False,lbm
r5_phi0.50_seed0.npy,1.1,0.0003,1.57e-06,4.64e-06,0.199910253,0.999551267,10,0.501895622,730387.1035,0.000231918,1269285.302,2000,True,False,lbm
r5_phi0.55_seed0.npy,0.9,1e-06,5.24e-09,3.02e-08,0.133333134,0.999998504,10,0.550527502,57325506.67,2.27e-06,80128962.6,1500,True,False,lbm
r5_phi0.55_seed0.npy,0.9,5e-06,2.62e-08,1.51e-07,0.133332336,0.999992519,10,0.550527502,11465033.25,1.13e-05,16025700.75,1500,True,False,lbm
r5_phi0.55_seed0.npy,0.9,1e-05,5.24e-08,3.02e-07,0.133331338,0.999985039,10,0.550527502,5732474.066,2.27e-05,8012793.018,1500,True,False,lbm
r5_phi0.55_seed0.npy,0.9,3e-05,1.57e-07,9.07e-07,0.133327349,0.999955116,10,0.550527502,1910767.941,6.8e-05,2670854.527,1500,True,False,lbm
r5_phi0.55_seed0.npy,0.9,5e-05,2.62e-07,1.51e-06,0.133323359,0.999925194,10,0.550527502,1146426.715,0.000113337,1602466.828,1500,True,False,lbm
r5_phi0.55_seed0.npy,0.9,7e-05,3.66e-07,2.12e-06,0.133319369,0.999895271,10,0.550527502,818851.9026,0.000158677,1144586.385,1500,True,False,lbm
r5_phi0.55_seed0.npy,0.9,0.0001,5.24e-07,3.02e-06,0.133313385,0.999850387,10,0.550527502,573170.792,0.000226691,801176.0517,1500,True,False,lbm
r5_phi0.55_seed0.npy,0.9,0.0003,1.57e-06,9.07e-06,0.133273488,0.999551162,10,0.550527502,191000.1625,0.000680277,266982.1906,1500,True,False,lbm
r5_phi0.55_seed0.npy,1.0,1e-06,5.24e-09,2.55e-08,0.166666417,0.999998503,10,0.550527502,80705271.52,1.53e-06,118843798.7,1500,True,False,lbm
r5_phi0.55_seed0.npy,1.0,5e-06,2.62e-08,1.27e-07,0.166665419,0.999992513,10,0.550527502,16140958.47,7.64e-06,23768621.77,1500,True,False,lbm
r5_phi0.55_seed0.npy,1.0,1e-05,5.24e-08,2.55e-07,0.166664171,0.999985027,10,0.550527502,8070419.339,1.53e-05,11884224.65,1500,True,False,lbm
r5_phi0.55_seed0.npy,1.0,3e-05,1.57e-07,7.64e-07,0.16665918,0.99995508,10,0.550527502,2690059.912,4.58e-05,3961293.239,1500,True,False,lbm
r5_phi0.55_seed0.npy,1.0,5e-05,2.62e-07,1.27e-06,0.166654189,0.999925133,10,0.550527502,1613988.024,7.64e-05,2376706.954,1500,True,False,lbm
r5_phi0.55_seed0.npy,1.0,7e-05,3.66e-07,1.78e-06,0.166649198,0.999895186,10,0.550527502,1152814.357,0.000106986,1697598.545,1500,True,False,lbm
r5_phi0.55_seed0.npy,1.0,0.0001,5.24e-07,2.55e-06,0.166641711,0.999850266,10,0.550527502,806934.1039,0.000152844,1188267.237,1500,True,False,lbm
r5_phi0.55_seed0.npy,1.0,0.0003,1.57e-06,7.64e-06,0.166591799,0.999550797,10,0.550527502,268898.1358,0.000458668,395974.0769,1500,True,False,lbm
r5_phi0.55_seed0.npy,1.1,1e-06,5.24e-09,2.23e-08,0.1999997,0.999998502,10,0.550527502,105277275.7,1.12e-06,162882390.2,1500,True,False,lbm
